Job Name,Count
['notaire'],2, intermediaire
['nurse'],2, intermediaire
['négociante'],2, proletaire
['ouv. cff'],2, intermediaire
['ouv. fahr'],2, intermediaire
['ouvr. de fahr'],2, intermediaire
['ouvrier deville'],2, intermediaire
['palefrenier'],2, proletaire
['pensionnat dedemoiselles'],2, intermediaire
['photograveur'],2, intermediaire
['pianos'],2, intermediaire
['pierriste'],2,proletaire
['plâtrier-peintre'],2,proletaire
['poêlier'],2, proletaire
['poëlier'],2, proletaire
['profess'],2, élevé
['professeur à l’académie'],2, élevé
['préparateur'],2, proletaire
['représent'],2, intermediaire
['représentant de commerce'],2, proletaire
['représentations'],2, proletaire
['régente'],2, élevé
['secrét'],2, proletaire
"['secrétaire,']",2, proletaire
['sommelier'],2, intermediaire
['sténo'],2, proletaire
['sœur de charité'],2, proletaire
"['tabacs,']",2, proletaire
['tailleur depierres'],2, proletaire
['téléphoniste'],2, intermediaire
"['veuve', 'rentière']",2, inactif
['viticulteur'],2, proletaire
['vitrier'],2,proletaire
['voiturier'],2, proletaire
['voyageur de commerce'],2
['voyageur'],2, inactif
"['vve', 'repasseuse']",2, proletaire
['éditeur'],2, intermediaire
['électr.'],2, intermediaire
['électric'],2, intermediaire
['étalagiste'],2, intermediaire
['évangéliste'],2, intermediaire
"[""a g. d'a""]",1 , intermediaire
"[""empi, d'hôtel""]",1, proletaire
"[""empi, d'imprimerie""]",1, proletaire
"[""l'avenir""]",1, inactif
"[""prof, d'hygiène""]",1, élevé
"[""soc. suisse d'antisepsie""]",1
"[""substitut de l'officier d'état""]",1
"[', tailleur de pierres']",, proletaire
"[',mécanicien']",1, intermediaire
['. de commerce'],1, proletaire
['. typo'],1, proletaire
['.journalier'],1, proletaire
['.représent.'],1, élevé
['.serrurier'],1, intermediaire
['_ cuisin.'],1, proletaire
['a g. sûreté'],1, intermediaire
['a ne. insp. du bétail'],1, intermediaire
"['a', ':', 've']",1, , inactif
['accordeur de pianos'],1, intermediaire
['accordeur'],1, intermediaire
['adm. impi.caroline s.a'],1, intermediaire
['admi-nist. b. c. v.'],1, intermediaire
['admin. de cinéma'],1, intermediaire
['administr'],1, intermediaire
['afficheur'],1, proletaire
['ag. de poh'],1, intermediaire
['ag. de poi'],1, intermediaire
['ag. de sûr'],1, intermediaire
['ag. de sûreté'],1, intermediaire
['ag. dé police'],1, intermediaire
['ag. d’affaires'],1, proletaire
['agent de publicité'],1, intermediaire
['agent depolice'],1, intermediaire
['agent depublicité'],1, intermediaire
['agent d’as-sur'],1, intermediaire
['agent d’assur'],1, intermediaire
['agent générald’assurances'],1, intermediaire
['agentde police'],1, intermediaire
['agricult.. croixvertes 2'],1, proletaire
['agt de police'],1, intermediaire
"['ajusteur cff,']",1, intermediaire
['ajusteur cff..'],1, intermediaire
['alimentation générale'],1, commerce
"['alluni', 'de gaz']",1, proletaire
['anc. direct'],1, inactif
['anc. pasteur'],1, inactif
['anc. prof'],1, inactif
['anc. tonnel.'],1, inactif
['ancien boucher'],1, inactif
['ancien cafetier'],1, inactif
['ancien instituteur'],1, inactif
"['anciengendarme,']",1, inactif
['appareil-leur'],1, proletaire
['appareill'],1, proletaire
['appareillent'],1, proletaire
['appareilleur.rue'],1, proletaire
"['appareilsélectriques,']",1, proletaire
['apprentie couturière'],1, proletaire
['archiviste cantonal'],1, intermediaire
['argenteur'],1, intermediaire
"['art. bronze,aven, des oiseaux 5']",1, intermediaire
['artiste dramat'],1, intermediaire
['artiste-musicien et accordeur de pianos'],1, intermediaire
['artiste-peintre'],1, intermediaire
['artistepeintre'],1, intermediaire
['assistant-pharmacien'],1, intermediaire
['assistante pharmac.'],1, intermediaire
