Job Name,Count
['mécan.. monte caro'],1, proletaire
['mécan..'],1, intermediaire
['mécanic en'],1, intermediaire
"['mécanic. cff.,rue']",1, intermediaire
"['mécanicien cff,']",1, intermediaire
"['mécaniciengff,']",1, intermediaire
['mécon'],1, ???
"['méd.-dentiste,quart']",1, élevé
"['médecin,camp. bellerive.']",1, élevé
['ména-gore'],1, proletaire
['ménag.'],1, proletaire
['ménag..'],1, proletaire
['ménagère.'],1, proletaire
['métr.-vérificat.'],1, ???
['nettoyeur'],1, proletaire
['ni. charpentier'],1, proletaire
['nickeleur'],1, proletaire
['notaire (étude'],1, intermediaire
['nun'],1, ???
['nég.'],1, proletaire
"['négoc. entabacs,']",1, proletaire
['négoc.'],1, proletaire
['négociant en cuirs'],1, proletaire
"['négociant', 'tapis linoléum']",1, proletaire
['opérateur'],1, proletaire
"['organiste', 'repos-cottage']",1, intermediaire
['ouv'],1, proletaire
['ouv. camp'],1, proletaire
['ouv. chocolatière'],1, proletaire
['ouv. de fabr'],1, proletaire
['ouv. de fati'],1, proletaire
['ouv. de ville'],1, proletaire
['ouv. photograveur'],1, proletaire
"['ouvr. de ville,retr']",1, proletaire
['ouvr. d’usine'],1, proletaire
['ouvr. fahr'],1, proletaire
"['ouvr. fahr.,quart']",1, proletaire
['ouvr. à la voirie'],1, proletaire
['ouvrier de ville'],1, proletaire
['ouvrier fabrique'],1, proletaire
['ouvrier voirie'],1, proletaire
['ouvrière'],1, proletaire
"['palefrenier,']",1, proletaire
"['papierspeints,']",1, proletaire
['pasteur(mission intérieure'],1, intermediaire
['peint'],1, proletaire
['peintre bât.'],1, proletaire
['peintre en lettres'],1, proletaire
['peintre en voitures'],1, proletaire
"['peintre encarrosserie,']",1, proletaire
['peintre envoitures'],1, proletaire
['peintre-décor'],1, proletaire
['peintre-décorat.'],1, proletaire
['pension de demoiselles'],1, intermediaire
['pension et garde-malade'],1, intermediaire
"['pensionde jeunes gens', '. —']",1, intermediaire
['phntogr.'],1, intermediaire
['photogr'],1, intermediaire
['photographe'],1, intermediaire
['pianiste'],1, intermediaire
['pierristc'],1, proletaire
['pionnier'],1, proletaire
['piqucuse'],1, proletaire
['piqueur'],1, proletaire
"['plàtrier', '-peinlre']",1, proletaire
['polisseur de pianos'],1, proletaire
['polisseur'],1, proletaire
"['primeurs,']",1, proletaire
"['prof, de chant.av']",1, intermediaire
"['prof, de gym']",1, intermediaire
"['prof, de mus']",1, intermediaire
"['prof, de musique']",1, intermediaire
"['profess, de langues', ', dessin,modelage et calligraphie']",1, élevé
"['profess, de sciencesphysiques et naturelles']",1, élevé
"['profess., camp.grande borde']",1, élevé
['professeur de dessin'],1, intermediaire
['professeur de gymnastique'],1, intermediaire
['professeur de langues'],1, élevé
['professeur d’escrime'],1, intermediaire
"['professeur, pension de jeunes gens']",1, élevé
"['professeur, pensionde jeunes gens']",1, élevé
"['professeur,']",1, élevé
"['professeur,rédacteur du chrétien évangélique']",1, élevé
['propriét'],1, inactif
"['propriétaire,']",1, inactif
['pàtiss'],1, proletaire
['quart'],1, ???
['r. des jardins'],1, ???
['radios'],1, ???
['ramoneur'],1, intermediaire
['raém'],1, ???
['rctr. de police'],1, intermediaire
['remmaillage de bas. atet'],1, proletaire
['remmailleuse'],1, proletaire
['remouleur'],1, proletaire
['renseignements'],1, proletaire
"['rentier', 'veuve', 'couturière', 'dame', 'épicerie, mercerie']",1, proletaire
['repass.'],1, proletaire
"['repr', '.']",1, proletaire
['représent.carba s'],1, proletaire
"['représentant,']",1, proletaire
"['représentantassur..', 'téléphone 22 0212']",1, proletaire
['représentations diverses'],1, intermediaire
['restaur'],1, proletaire
['restaurateur cantine des casernes'],1, proletaire
['restaurateur'],1, proletaire
['retr'],1, inactif
"['retraité cff,']",1, inactif
"['retraité cff.,av']",1, inactif
['retraité post'],1, inactif
['retraité post.. lapastourelle'],1, inactif
['retraité postal'],1, inactif
['retraité ptt.'],1, inactif
['retraité s. i.'],1, inactif
['retraité s.i.'],1, inactif
['revendeur'],1, proletaire
"['revendeuse,']",1, proletaire
"['ro-sine-albertine', 'rentière']",1, inactif
['rose mousse'],1, ???
['rédact'],1, intermediaire
"['réparateur', 'deverres']",1, intermediaire
['rêpar. de bijouterie'],1, intermediaire
['s.a.. vins'],1, commerce
['sage-femme'],1, intermediaire
['scmmeü’ère'],1, ???
['sculpt'],1, proletaire
['sculpteur'],1, intermediaire
['sculpture et décoration'],1, intermediaire
['secrét. dirdes ecoles'],1, intermediaire
"['secrét. greffemunicipal,']",1, intermediaire
['secrét. trib.de district'],1, intermediaire
"['secrét. à lachancellerie,']",1, intermediaire
['secrét.'],1, intermediaire
"['secrét.-comptable,']",1, intermediaire
['secrét..'],1, intermediaire
['secrétaiire'],1, intermediaire
['secrétaire au bureau du<-timbre'],1, intermediaire
['secrétaire e.m.l.'],1, intermediaire
['secrétaire en chef dudép. militaire'],1, intermediaire
['seorét. département militaire'],1, intermediaire
"['serg.-maj. sap.-pompiers,']",1, proletaire
"['serg.-major,', 'garde-frontières']",1, proletaire
['serr. t.'],1, proletaire
['serrur'],1, proletaire
['serrur.'],1, proletaire
"['serrur.,']",1, proletaire
"['serrurier s. i.,av']",1, proletaire
"['serrurier-appa', '-reilleur']",1, proletaire
['serveuse'],1, proletaire
['sommeli&re'],1, intermediaire
['soudeur'],1, proletaire
['sous-archiviste.'],1, intermediaire
['sous-chef deservice b. c. v.'],1, intermediaire
"['sous-direct. union vaudoise du crédit,']",1, intermediaire
['spécialit. fourragères'],1, proletaire
['sténo-dactvlo'],1, intermediaire
['sténograp'],1, intermediaire
['stêno-dact'],1, intermediaire
['surv.'],1, inactif
['sœur charité'],1, intermediaire
['sœur visitante'],1, intermediaire
['taill.'],1, proletaire
['taillandier'],1, proletaire
['tailleuse'],1, proletaire
"['tanneur', ',commerce de cuirs (bureau et tannerie']",1, proletaire
"['tanneur', ',crêtes b']",1, proletaire
['tapiss'],1, proletaire
['tapissière'],1, proletaire
['techn. cff'],1, intermediaire
['techn. radio'],1, intermediaire
['techn.-électric..'],1, intermediaire
['teinturier'],1, proletaire
"['ti-tommas ini charles,', 'menuisier']",1, proletaire
['tils'],1, ???
"['tissusgros et détail', 'draperie, étoffes (magasin']",1, proletaire
['tourn'],1, ???
['transports'],1,???
"['travail,']",1, proletaire
['tricot à la machine'],1, proletaire
['tripier'],1, proletaire
['typograp'],1, intermediaire 
"['typographe', 'chalet suisse']",1, intermediaire
['télégr'],1, intermediaire
['télégraph'],1, intermediaire
['télégraphiste'],1, intermediaire
['téléph'],1, proletaire
['tôlier'],1, proletaire
['v. maria'],1, ???
['va beau-crêt'],1, ???
['val fleuri'],1, ???
['valet dechambre'],1, proletaire
['vendeur de journaux'],1, proletaire
['vendeuse de journaux'],1, proletaire
"['veuve', 'journalière']",1, proletaire
"['veuve', 'modiste']",1, proletaire
"['veuve', 'ménag']",1, inactif
"['veuve', 'ménagère']",1, inactif
"['veuve', 'pens,p. jeunes gens']",1, intermediaire
"['veuve', 'pension pour jeunes demoiselles']",1, intermediaire
"['veuve', 'rent']",1, inactif
"['vigneron', 'm. floury']",1, proletaire
"['visit, aux douanes']",1, ???
['voyag'],1, inactif
['voyer du1er arrond'],1, ???
['vulcanisateur'],1, proletaire
"['vve', 'bon-neterie-laines,', 'l’ale 10.t.']",1, inactif
"['vve', 'concierge']",1, proletaire
"['vve', 'couturière']",1, proletaire
"['vve', 'giletière']",1, proletaire
"['vve', 'march,d’œufs']",1, proletaire
"['vve', 'mercerie-bonneterie']",1, proletaire
"['vve', 'ménag']",1, inactif
"['vve', 'ménagère']",1, inactif
"['vve', 'officed’encaissements']",1, proletaire
"['vve', 'épicerie']",1, proletaire
"['vve,épicerie']",1, proletaire
['vêtements detravail'],1, proletaire
"['é ri c-em i 1 e,appareilleur']",1, proletaire
['ébén'],1, proletaire
"['ébéniste,']",1, proletaire
['école particul'],1, intermediaire
['école particul< folriana >'],1, intermediaire
['écrivain'],1, intermediaire
"['éditeur,']",1, intermediaire
['électr'],1, intermediaire
['électr.-techn..'],1, intermediaire
['électricien autos'],1, intermediaire
['électricien s.'],1, intermediaire
"['électricien surautos,']",1, intermediaire
['électro-mécan .'],1, intermediaire
['électro-technic.'],1, intermediaire
['éléctricien'],1, intermediaire
"['épicerie', 'confiserie']",1, proletaire
['équipementélectr.'],1, commerce
"['étudiant', 'mais. barraud']",1, inactif
['étudiante'],1, inactif
['êlectr.'],1, intermediaire
['êtud..'],1, inactif
['„ s.'],1, inactif
["substitut de l'officier d'état"], 1, intermediaire
['voyageur de commerce'], 1, inactif
['redact'], 1, inactif
['débridée'], 2, proletaire
['employé àla voirie'], 1, proletaire
['reorésent.'], 1, proletaire
"['représ', 'gén']", 1, proletaire
['boucher-charcut.'], 1, proletaire
['téléphon'], 1, proletaire
['employé bureau'], 2, intermediaire
"['employé, postal']", 2, intermediaire
['appointé police'], 1, intermediaire
["Soc. suisse d'antisepsie"], 1, commerce
"['profess,retraité']", 1, inactif
['chef contrôleurCFF.'], 1, élevé
